"Статус","Количество"
"Rejected","63"
"Withdrawn","30"
"Withdrawn","31"
"Withdrawn","32"
"Rejected","64"
"Withdrawn","33"
"Rejected","65"
"Rejected","66"
"Withdrawn","34"
"Withdrawn","35"
"Rejected","67"
"Rejected","68"
"Rejected","69"
"Rejected","70"
"Rejected","71"
"Withdrawn","36"
"Rejected","72"
"Rejected","73"
"Rejected","74"
"Superseded","11"
"Rejected","75"
"Withdrawn","37"
"Rejected","76"
"Withdrawn","38"
"Rejected","77"
"Withdrawn","39"
"Rejected","78"
"Rejected","79"
"Rejected","80"
"Withdrawn","40"
"Withdrawn","41"
"Withdrawn","42"
"Rejected","81"
"Superseded","12"
"Withdrawn","43"
"Withdrawn","44"
"Withdrawn","45"
"Rejected","82"
"Withdrawn","46"
"Withdrawn","47"
"Withdrawn","48"
"Superseded","13"
"Rejected","83"
"Rejected","84"
"Rejected","85"
"Rejected","86"
"Withdrawn","49"
"Superseded","14"
"Superseded","15"
"Rejected","87"
"Rejected","88"
"Rejected","89"
"Rejected","90"
"Rejected","91"
"Withdrawn","50"
"Rejected","92"
"Rejected","93"
"Rejected","94"
"Rejected","95"
"Rejected","96"
"Rejected","97"
"Rejected","98"
"Rejected","99"
"Withdrawn","51"
"Rejected","100"
"Rejected","101"
"Rejected","102"
"Rejected","103"
"Rejected","104"
"Rejected","105"
"Rejected","106"
"Rejected","107"
"Rejected","108"
"Rejected","109"
"Rejected","110"
"Rejected","111"
"Withdrawn","52"
"Withdrawn","53"
"Rejected","112"
"Superseded","16"
"Rejected","113"
"Rejected","114"
"Rejected","115"
"Rejected","116"
"Rejected","117"
"Rejected","118"
